Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
YA 8752|Ту-134|72|Томск|Богашёво|Архангельск|Талаги|04.11.2020 3:41:00|04.11.2020 5:48:00|
QE 8016|ИЛ-96|113|Оренбург|Оренбург-Центральный|Новокузнецк|Спиченково|04.11.2020 9:48:00|04.11.2020 11:31:00|
JH 3878|Ту-204|134|Курск|Восточный|Чита|Кадала|04.11.2020 2:26:00|04.11.2020 7:00:00|
QP 5951|ИЛ-96М|267|Хабаровск|Хабаровск-Новый|Челябинск|Баландино|04.11.2020 13:38:00|04.11.2020 16:14:00|
TE 4684|Боинг-767|137|Ростов - на - Дону|Платов|Москва|Внуково|04.11.2020 7:58:00|04.11.2020 10:18:00|
UG 8717|Аэробус-A320|132|Орск|Орск|Анапа|Витязево|04.11.2020 21:35:00|05.11.2020 2:28:00|
YU 7767|Ту-204|109|Санкт - Петербург|Пулково|Анапа|Витязево|04.11.2020 0:39:00|04.11.2020 1:56:00|
JF 5392|Боинг-777|106|Челябинск|Баландино|Абакан|Абакан|04.11.2020 15:09:00|04.11.2020 19:14:00|
CM 0505|Ту-154 |146|Казань|Казань|Ростов - на - Дону|Платов|04.11.2020 14:52:00|04.11.2020 18:47:00|
FX 0557|Ту-134|33|Варандей|Варандей|Брянск|Брянск|04.11.2020 18:11:00|04.11.2020 19:27:00|
KH 7320|Аэробус-A310|171|Элиста|Элиста|Грозный|Северный|04.11.2020 4:06:00|04.11.2020 8:55:00|
DH 1389|ИЛ-96М|202|Саранск|Саранск|Грозный|Северный|04.11.2020 4:21:00|04.11.2020 7:17:00|
CE 7683|ИЛ-96|54|Уфа|Уфа|Нальчик|Нальчик|04.11.2020 3:55:00|04.11.2020 6:34:00|
FU 8568|ИЛ-96|126|Курган|Курган|Мурманск|Мурманск|04.11.2020 21:44:00|04.11.2020 23:42:00|
CK 8935|Боинг-777|194|Калуга|Грабцево|Нижний Новгород|Стригино|04.11.2020 4:16:00|04.11.2020 6:34:00|
VL 9610|ИЛ-96-300|165|Махачкала|Уйташ|Калининград|Храброво|04.11.2020 10:08:00|04.11.2020 13:30:00|
PN 9568|Боинг-777|172|Нижнекамск|Бегишево|Саратов|Гагарин|04.11.2020 4:54:00|04.11.2020 6:13:00|
HM 6276|ИЛ-62|97|Элиста|Элиста|Симферополь|Симферополь|04.11.2020 14:41:00|04.11.2020 17:04:00|
VI 7444|Боинг-747|256|Грозный|Северный|Абакан|Абакан|04.11.2020 20:43:00|05.11.2020 1:13:00|
AO 7397|Аэробус-A330|143|Москва|Шереметьево|Мурманск|Мурманск|04.11.2020 19:06:00|04.11.2020 22:05:00|
CC 3412|Боинг-747|148|Чита|Кадала|Псков|Кресты|04.11.2020 20:02:00|04.11.2020 22:14:00|
ZE 2398|ИЛ-96М|394|Иркутск|Иркутск|Южно - Сахалинск|Хомутово|04.11.2020 13:35:00|04.11.2020 17:40:00|
CM 3489|ИЛ-86|299|Петрозаводск|Петрозаводск|Якутск|Якутск|04.11.2020 11:47:00|04.11.2020 16:03:00|
GB 5468|ИЛ-86|240|Анадырь|Угольный|Петрозаводск|Петрозаводск|04.11.2020 18:04:00|04.11.2020 20:59:00|
MG 6587|Боинг-747|176|Мурманск|Мурманск|Улан - Удэ|Мухино|04.11.2020 23:32:00|05.11.2020 3:45:00|
BL 3117|Аэробус-A310|75|Кемерово|Кемерово|Ростов - на - Дону|Платов|04.11.2020 6:46:00|04.11.2020 8:51:00|
LU 1845|ИЛ-86|172|Южно - Сахалинск|Хомутово|Ставрополь|Шпаковское|04.11.2020 7:00:00|04.11.2020 8:26:00|
ZM 4006|Боинг-767|232|Якутск|Якутск|Петропавловск - Камчатский|Елизово|04.11.2020 7:51:00|04.11.2020 10:44:00|
MD 3793|Боинг-747|213|Архангельск|Талаги|Оренбург|Оренбург-Центральный|04.11.2020 7:37:00|04.11.2020 10:19:00|
AY 4990|Ту-204|66|Астрахань|Нариманово|Петропавловск - Камчатский|Елизово|04.11.2020 18:11:00|04.11.2020 21:29:00|
KV 3768|Боинг-777|223|Пермь|Большое Савино|Ульяновск|Восточный|04.11.2020 0:15:00|04.11.2020 4:37:00|
NY 5640|ИЛ-96-300|196|Грозный|Северный|Саранск|Саранск|04.11.2020 10:03:00|04.11.2020 13:42:00|
UL 4985|ИЛ-96М|235|Курумоч|Курумоч|Элиста|Элиста|04.11.2020 4:19:00|04.11.2020 8:55:00|
DK 4834|Аэробус-A320|97|Братск|Братск|Элиста|Элиста|04.11.2020 12:22:00|04.11.2020 14:10:00|
KZ 9419|Аэробус-A320|257|Орск|Орск|Калининград|Храброво|04.11.2020 11:40:00|04.11.2020 16:37:00|
SZ 4223|ИЛ-86|206|Пермь|Большое Савино|Сыктывкар|Сыктывкар|04.11.2020 3:21:00|04.11.2020 5:53:00|
QA 5179|ИЛ-96М|334|Чебоксары|Чебоксары|Сургут|Сургут|04.11.2020 9:13:00|04.11.2020 13:28:00|
UJ 9940|Ту-204|115|Элиста|Элиста|Череповец|Череповец|04.11.2020 14:51:00|04.11.2020 18:43:00|
YQ 6097|Ту-154 |131|Череповец|Череповец|Кемерово|Кемерово|04.11.2020 10:27:00|04.11.2020 13:24:00|
FR 3590|Ту-134|57|Архангельск|Талаги|Саранск|Саранск|04.11.2020 14:40:00|04.11.2020 17:09:00|
EY 0049|ИЛ-62|65|Ставрополь|Шпаковское|Новосибирск|Толмачёво|04.11.2020 23:50:00|05.11.2020 4:08:00|
JR 0334|ИЛ-96-300|248|Нижний Новгород|Стригино|Анадырь|Угольный|04.11.2020 0:24:00|04.11.2020 5:18:00|
FC 2120|ИЛ-96|127|Самара|Самара|Чебоксары|Чебоксары|04.11.2020 17:52:00|04.11.2020 22:04:00|
DT 4763|Аэробус-A330|169|Нальчик|Нальчик|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 8:43:00|04.11.2020 11:03:00|
RY 4610|Аэробус-A320|167|Москва|Домодедово|Сочи|Адлер|04.11.2020 14:15:00|04.11.2020 18:48:00|
SU 9234|Аэробус-A310|181|Краснодар|Пашковский|Нижневартовск|Нижневартовск|04.11.2020 18:24:00|04.11.2020 22:08:00|
LV 0994|Боинг-777|229|Грозный|Северный|Варандей|Варандей|04.11.2020 1:43:00|04.11.2020 5:32:00|
YO 0761|ИЛ-86|192|Калуга|Грабцево|Хабаровск|Хабаровск-Новый|04.11.2020 12:40:00|04.11.2020 13:47:00|
UZ 1998|Боинг-737|60|Чита|Кадала|Псков|Кресты|04.11.2020 8:28:00|04.11.2020 12:43:00|
YI 9218|ИЛ-96-300|193|Иркутск|Иркутск|Кемерово|Кемерово|04.11.2020 22:30:00|05.11.2020 2:38:00|
JW 2495|ИЛ-62|184|Владикавказ|Беслан|Грозный|Северный|04.11.2020 20:16:00|04.11.2020 21:57:00|
UN 3266|ИЛ-62|181|Череповец|Череповец|Архангельск|Талаги|04.11.2020 12:00:00|04.11.2020 16:03:00|
KT 4042|ИЛ-96|76|Грозный|Северный|Саранск|Саранск|04.11.2020 2:29:00|04.11.2020 6:07:00|
CY 9010|Боинг-777|225|Петропавловск - Камчатский|Елизово|Омск|Омск-Центральный|04.11.2020 5:56:00|04.11.2020 9:21:00|
UU 9707|ИЛ-96-300|118|Ульяновск|Восточный|Братск|Братск|04.11.2020 12:07:00|04.11.2020 15:58:00|
JV 9022|Боинг-737|34|Ульяновск|Восточный|Белгород|Белгород|04.11.2020 23:54:00|05.11.2020 4:39:00|
SQ 8061|Ту-154 |144|Южно - Сахалинск|Хомутово|Волгоград|Гумрак|04.11.2020 6:29:00|04.11.2020 10:17:00|
PW 4904|Боинг-767|145|Москва|Шереметьево|Брянск|Брянск|04.11.2020 22:34:00|05.11.2020 0:46:00|
NR 5319|Боинг-737|39|Кемерово|Кемерово|Москва|Жуковский|04.11.2020 9:48:00|04.11.2020 12:43:00|
OQ 8667|ИЛ-96М|294|Чебоксары|Чебоксары|Сочи|Адлер|04.11.2020 13:52:00|04.11.2020 18:47:00|
GM 5988|ИЛ-96-300|138|Грозный|Северный|Элиста|Элиста|04.11.2020 6:35:00|04.11.2020 7:40:00|
OK 6160|Ту-204|156|Астрахань|Нариманово|Хабаровск|Хабаровск-Новый|04.11.2020 13:47:00|04.11.2020 16:30:00|
YQ 7030|ИЛ-96М|182|Майкоп|Майкоп|Тюмень|Рощино|04.11.2020 12:17:00|04.11.2020 15:26:00|
FO 1105|Ту-154 |121|Махачкала|Уйташ|Уфа|Уфа|04.11.2020 21:48:00|04.11.2020 23:23:00|
FK 3419|Сc-100|60|Ростов - на - Дону|Платов|Нальчик|Нальчик|04.11.2020 13:09:00|04.11.2020 16:26:00|
UE 8981|Боинг-747|103|Омск|Омск-Центральный|Ульяновск|Восточный|04.11.2020 11:55:00|04.11.2020 16:11:00|
ML 7818|Сc-100|45|Новокузнецк|Спиченково|Улан - Удэ|Мухино|04.11.2020 19:52:00|04.11.2020 23:41:00|
FE 0885|Боинг-777|151|Курск|Восточный|Ярославль|Туношна|04.11.2020 19:24:00|05.11.2020 0:21:00|
XM 0989|Аэробус-A310|91|Ярославль|Туношна|Нальчик|Нальчик|04.11.2020 16:48:00|04.11.2020 19:06:00|
LB 3720|Ту-154 |65|Пермь|Большое Савино|Саратов|Гагарин|04.11.2020 23:41:00|05.11.2020 0:43:00|
VN 3679|ИЛ-96|73|Барнаул|Барнаул|Кемерово|Кемерово|04.11.2020 3:33:00|04.11.2020 8:32:00|
BI 4563|Ту-134|63|Ханты - Мансийск|Ханты - Мансийск|Белгород|Белгород|04.11.2020 3:35:00|04.11.2020 7:33:00|
XO 8220|ИЛ-62|172|Архангельск|Талаги|Ростов - на - Дону|Платов|04.11.2020 23:19:00|05.11.2020 3:18:00|
ZP 1661|Ту-204|101|Владивосток|Кневичи|Тюмень|Рощино|04.11.2020 18:03:00|04.11.2020 19:30:00|
HJ 4981|Ту-154 |156|Волгоград|Гумрак|Брянск|Брянск|04.11.2020 8:52:00|04.11.2020 9:57:00|
WI 1864|Сc-100|88|Провидения|Бухта Провидения|Ростов - на - Дону|Платов|04.11.2020 8:16:00|04.11.2020 11:01:00|
MS 4640|Ту-204|83|Нальчик|Нальчик|Петропавловск - Камчатский|Елизово|04.11.2020 7:04:00|04.11.2020 11:17:00|
XU 7528|Боинг-737|83|Братск|Братск|Уфа|Уфа|04.11.2020 1:17:00|04.11.2020 3:00:00|
IV 2991|Аэробус-A330|257|Воронеж|Чертовицкое|Псков|Кресты|04.11.2020 11:32:00|04.11.2020 15:01:00|
UL 8568|Боинг-737|100|Ростов - на - Дону|Платов|Элиста|Элиста|04.11.2020 2:01:00|04.11.2020 4:36:00|
FF 8854|ИЛ-86|164|Сургут|Сургут|Красноярск|Емельяново|04.11.2020 21:28:00|05.11.2020 0:57:00|
TP 3662|Ту-134|71|Орск|Орск|Анапа|Витязево|04.11.2020 17:31:00|04.11.2020 19:15:00|
YF 3681|Боинг-777|168|Провидения|Бухта Провидения|Воронеж|Чертовицкое|04.11.2020 14:18:00|04.11.2020 15:32:00|
WT 3440|Ту-154 |52|Сабетта|Сабетта|Минеральные Воды|Минеральные Воды|04.11.2020 10:01:00|04.11.2020 12:26:00|
CM 7940|ИЛ-86|180|Екатеринбург|Кольцово|Ульяновск|Баратаевка|04.11.2020 23:07:00|05.11.2020 1:46:00|
ZF 0528|ИЛ-62|134|Грозный|Северный|Ульяновск|Восточный|04.11.2020 7:04:00|04.11.2020 10:31:00|
LA 1519|Аэробус-A310|123|Курган|Курган|Якутск|Якутск|04.11.2020 20:41:00|05.11.2020 0:28:00|
DM 6833|ИЛ-86|95|Краснодар|Пашковский|Пермь|Большое Савино|04.11.2020 0:06:00|04.11.2020 1:53:00|
JL 8614|Боинг-747|270|Махачкала|Уйташ|Череповец|Череповец|04.11.2020 6:40:00|04.11.2020 10:37:00|
QF 8451|Боинг-747|194|Курган|Курган|Липецк|Липецк|04.11.2020 21:20:00|05.11.2020 0:23:00|
ML 6481|ИЛ-96|169|Курган|Курган|Хабаровск|Хабаровск-Новый|04.11.2020 17:41:00|04.11.2020 22:06:00|
AC 8104|Сc-100|70|Курган|Курган|Ульяновск|Баратаевка|04.11.2020 2:51:00|04.11.2020 4:00:00|
CU 6339|ИЛ-62|143|Москва|Жуковский|Владивосток|Кневичи|04.11.2020 6:57:00|04.11.2020 8:19:00|
TU 8761|Аэробус-A330|344|Ставрополь|Шпаковское|Астрахань|Нариманово|04.11.2020 16:11:00|04.11.2020 18:19:00|
DR 9684|Аэробус-A310|156|Калуга|Грабцево|Екатеринбург|Кольцово|04.11.2020 5:00:00|04.11.2020 7:58:00|
XA 2965|Ту-204|206|Калининград|Храброво|Элиста|Элиста|04.11.2020 18:34:00|04.11.2020 20:22:00|
MR 3010|Ту-154 |58|Мурманск|Мурманск|Варандей|Варандей|04.11.2020 16:44:00|04.11.2020 18:48:00|
XP 3806|Аэробус-A330|176|Магнитогорск|Магнитогорск|Липецк|Липецк|04.11.2020 10:47:00|04.11.2020 13:18:00|
EQ 3211|Ту-154 |122|Новокузнецк|Спиченково|Москва|Шереметьево|04.11.2020 10:11:00|04.11.2020 11:16:00|
YV 3325|Сc-100|56|Томск|Богашёво|Сыктывкар|Сыктывкар|04.11.2020 15:21:00|04.11.2020 20:04:00|
TV 0579|ИЛ-62|169|Челябинск|Баландино|Благовещенск|Игнатьево|04.11.2020 18:14:00|04.11.2020 23:01:00|
GJ 5298|Аэробус-A330|133|Москва|Домодедово|Ульяновск|Баратаевка|04.11.2020 18:02:00|04.11.2020 19:21:00|
BG 9226|Боинг-747|142|Якутск|Якутск|Калуга|Грабцево|04.11.2020 14:55:00|04.11.2020 18:33:00|
GB 2276|Ту-154 |81|Якутск|Якутск|Петрозаводск|Петрозаводск|04.11.2020 19:33:00|04.11.2020 23:56:00|
XK 9702|ИЛ-96М|343|Абакан|Абакан|Саратов|Гагарин|04.11.2020 19:37:00|05.11.2020 0:04:00|
EA 6539|ИЛ-86|155|Курган|Курган|Сургут|Сургут|04.11.2020 18:08:00|04.11.2020 19:22:00|
RN 7991|Аэробус-A330|251|Ханты - Мансийск|Ханты - Мансийск|Воронеж|Чертовицкое|04.11.2020 7:14:00|04.11.2020 9:14:00|
OP 9514|Аэробус-A320|244|Новокузнецк|Спиченково|Санкт - Петербург|Пулково|04.11.2020 14:23:00|04.11.2020 16:15:00|
VU 5481|Аэробус-A310|176|Владикавказ|Беслан|Петропавловск - Камчатский|Елизово|04.11.2020 22:05:00|05.11.2020 2:07:00|
KB 4223|ИЛ-86|121|Псков|Кресты|Элиста|Элиста|04.11.2020 7:47:00|04.11.2020 11:08:00|
PD 1621|ИЛ-96М|356|Курган|Курган|Нижний Новгород|Стригино|04.11.2020 19:24:00|04.11.2020 21:35:00|
TJ 3170|ИЛ-96|108|Симферополь|Симферополь|Ставрополь|Шпаковское|04.11.2020 10:19:00|04.11.2020 13:17:00|
UW 0222|Аэробус-A330|224|Сургут|Сургут|Благовещенск|Игнатьево|04.11.2020 19:32:00|04.11.2020 21:57:00|
XH 0336|Боинг-737|106|Воронеж|Чертовицкое|Санкт - Петербург|Пулково|04.11.2020 19:27:00|04.11.2020 21:15:00|
IP 1677|ИЛ-62|164|Ханты - Мансийск|Ханты - Мансийск|Мурманск|Мурманск|04.11.2020 15:05:00|04.11.2020 17:00:00|
GL 0455|Аэробус-A320|150|Калининград|Храброво|Ульяновск|Восточный|04.11.2020 9:23:00|04.11.2020 11:53:00|
XF 5032|Боинг-737|39|Элиста|Элиста|Магадан|Сокол|04.11.2020 3:08:00|04.11.2020 5:36:00|
EU 5813|ИЛ-62|79|Белгород|Белгород|Благовещенск|Игнатьево|04.11.2020 21:46:00|04.11.2020 23:22:00|
OC 8047|Сc-100|53|Челябинск|Баландино|Симферополь|Симферополь|04.11.2020 4:48:00|04.11.2020 6:14:00|
PO 1638|ИЛ-62|83|Минеральные Воды|Минеральные Воды|Магнитогорск|Магнитогорск|04.11.2020 19:21:00|04.11.2020 23:17:00|
WR 2646|ИЛ-62|86|Элиста|Элиста|Челябинск|Баландино|04.11.2020 6:55:00|04.11.2020 11:19:00|
AB 0154|Ту-154 |47|Якутск|Якутск|Челябинск|Баландино|04.11.2020 23:28:00|05.11.2020 3:24:00|
WF 9940|Аэробус-A320|216|Курумоч|Курумоч|Братск|Братск|04.11.2020 2:13:00|04.11.2020 4:25:00|
DF 9448|Аэробус-A330|287|Мурманск|Мурманск|Магадан|Сокол|04.11.2020 3:13:00|04.11.2020 7:33:00|
PI 7022|Сc-100|77|Псков|Кресты|Сургут|Сургут|04.11.2020 5:02:00|04.11.2020 7:47:00|
UU 0778|Боинг-777|106|Череповец|Череповец|Орск|Орск|04.11.2020 2:32:00|04.11.2020 5:32:00|
EX 2518|Аэробус-A330|329|Провидения|Бухта Провидения|Махачкала|Уйташ|04.11.2020 0:37:00|04.11.2020 5:14:00|
VM 5876|ИЛ-96|178|Псков|Кресты|Москва|Шереметьево|04.11.2020 10:44:00|04.11.2020 13:56:00|
IU 6476|ИЛ-96М|344|Владикавказ|Беслан|Мурманск|Мурманск|04.11.2020 11:03:00|04.11.2020 14:29:00|
AP 7680|Ту-154 |146|Абакан|Абакан|Южно - Сахалинск|Хомутово|04.11.2020 15:05:00|04.11.2020 19:29:00|
AR 5438|Боинг-747|218|Новосибирск|Толмачёво|Москва|Домодедово|04.11.2020 0:10:00|04.11.2020 3:54:00|
AE 2751|Боинг-737|42|Калуга|Грабцево|Архангельск|Талаги|04.11.2020 4:59:00|04.11.2020 8:23:00|
PK 6239|ИЛ-86|282|Екатеринбург|Кольцово|Майкоп|Майкоп|04.11.2020 4:42:00|04.11.2020 6:16:00|
KY 9897|ИЛ-96-300|109|Ростов - на - Дону|Платов|Ярославль|Туношна|04.11.2020 16:17:00|04.11.2020 19:00:00|
FI 7113|ИЛ-96-300|209|Москва|Шереметьево|Воронеж|Чертовицкое|04.11.2020 23:16:00|05.11.2020 0:44:00|
WC 8170|Ту-134|55|Москва|Шереметьево|Орск|Орск|04.11.2020 2:23:00|04.11.2020 3:52:00|
AF 4769|Боинг-777|214|Нальчик|Нальчик|Астрахань|Нариманово|04.11.2020 2:03:00|04.11.2020 4:08:00|
CU 4200|Аэробус-A310|158|Саратов|Гагарин|Псков|Кресты|04.11.2020 8:27:00|04.11.2020 10:32:00|
KI 0076|Боинг-737|112|Череповец|Череповец|Краснодар|Пашковский|04.11.2020 17:30:00|04.11.2020 22:27:00|
OU 5771|ИЛ-96-300|113|Ставрополь|Шпаковское|Южно - Сахалинск|Хомутово|04.11.2020 5:32:00|04.11.2020 6:52:00|
XO 6802|ИЛ-96|92|Курумоч|Курумоч|Ульяновск|Баратаевка|04.11.2020 10:20:00|04.11.2020 13:18:00|
II 9314|ИЛ-96М|143|Красноярск|Емельяново|Оренбург|Оренбург-Центральный|04.11.2020 3:52:00|04.11.2020 7:22:00|
OC 4508|Ту-204|144|Якутск|Якутск|Сабетта|Сабетта|04.11.2020 5:02:00|04.11.2020 6:46:00|
DE 6641|ИЛ-96|81|Улан - Удэ|Мухино|Владикавказ|Беслан|04.11.2020 6:26:00|04.11.2020 10:42:00|
ZQ 0475|Ту-134|60|Челябинск|Баландино|Орск|Орск|04.11.2020 19:10:00|04.11.2020 23:13:00|
HT 9366|ИЛ-62|192|Ярославль|Туношна|Москва|Внуково|04.11.2020 8:40:00|04.11.2020 10:15:00|
QS 4561|Ту-154 |75|Астрахань|Нариманово|Владивосток|Кневичи|04.11.2020 11:29:00|04.11.2020 16:06:00|
LW 7558|ИЛ-96-300|196|Омск|Омск-Центральный|Калининград|Храброво|04.11.2020 6:30:00|04.11.2020 9:34:00|
JT 8766|Боинг-747|216|Новокузнецк|Спиченково|Новосибирск|Толмачёво|04.11.2020 1:24:00|04.11.2020 6:00:00|
JE 5504|Боинг-747|241|Элиста|Элиста|Иркутск|Иркутск|04.11.2020 5:25:00|04.11.2020 9:52:00|
FY 5421|Ту-134|39|Оренбург|Оренбург-Центральный|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 9:17:00|04.11.2020 12:21:00|
CK 2156|Ту-204|159|Екатеринбург|Кольцово|Магадан|Сокол|04.11.2020 3:00:00|04.11.2020 4:48:00|
XK 7696|ИЛ-86|260|Воронеж|Чертовицкое|Пермь|Большое Савино|04.11.2020 2:03:00|04.11.2020 4:19:00|
BA 7021|ИЛ-62|130|Сабетта|Сабетта|Волгоград|Гумрак|04.11.2020 10:45:00|04.11.2020 14:36:00|
GU 2283|ИЛ-96-300|81|Магнитогорск|Магнитогорск|Магадан|Сокол|04.11.2020 8:53:00|04.11.2020 13:39:00|
XN 7601|Ту-154 |67|Ставрополь|Шпаковское|Сургут|Сургут|04.11.2020 21:08:00|04.11.2020 22:42:00|
QZ 6143|Боинг-767|117|Архангельск|Талаги|Белгород|Белгород|04.11.2020 12:53:00|04.11.2020 16:45:00|
LH 3503|Ту-204|102|Липецк|Липецк|Курган|Курган|04.11.2020 18:01:00|04.11.2020 19:23:00|
UJ 5843|Ту-204|173|Магадан|Сокол|Санкт - Петербург|Пулково|04.11.2020 7:13:00|04.11.2020 11:38:00|
MM 7782|Аэробус-A330|241|Мурманск|Мурманск|Нижний Новгород|Стригино|04.11.2020 21:12:00|05.11.2020 1:11:00|
DM 8649|Ту-154 |91|Брянск|Брянск|Калуга|Грабцево|04.11.2020 17:14:00|04.11.2020 20:41:00|
TZ 9399|ИЛ-86|133|Минеральные Воды|Минеральные Воды|Воронеж|Чертовицкое|04.11.2020 13:36:00|04.11.2020 16:22:00|
FI 7716|Аэробус-A310|147|Ульяновск|Восточный|Воронеж|Чертовицкое|04.11.2020 20:40:00|04.11.2020 22:42:00|
AR 4879|ИЛ-96-300|123|Архангельск|Талаги|Ярославль|Туношна|04.11.2020 8:05:00|04.11.2020 11:33:00|
BB 5073|Ту-154 |47|Москва|Домодедово|Тюмень|Рощино|04.11.2020 15:21:00|04.11.2020 16:53:00|
WJ 8351|Аэробус-A330|329|Орск|Орск|Грозный|Северный|04.11.2020 17:31:00|04.11.2020 20:20:00|
GE 1423|Аэробус-A320|170|Симферополь|Симферополь|Санкт - Петербург|Пулково|04.11.2020 3:45:00|04.11.2020 6:23:00|
FH 2937|ИЛ-96М|311|Череповец|Череповец|Ульяновск|Восточный|04.11.2020 8:42:00|04.11.2020 11:28:00|
UP 9368|ИЛ-96М|227|Ставрополь|Шпаковское|Южно - Сахалинск|Хомутово|04.11.2020 19:56:00|04.11.2020 23:01:00|
IK 6397|Аэробус-A310|73|Провидения|Бухта Провидения|Брянск|Брянск|04.11.2020 9:36:00|04.11.2020 14:09:00|
NQ 8628|Боинг-737|101|Варандей|Варандей|Красноярск|Емельяново|04.11.2020 12:24:00|04.11.2020 13:24:00|
OY 0764|Ту-134|81|Нижнекамск|Бегишево|Ульяновск|Восточный|04.11.2020 23:36:00|05.11.2020 4:15:00|
JR 3625|Аэробус-A330|381|Чебоксары|Чебоксары|Омск|Омск-Центральный|04.11.2020 11:08:00|04.11.2020 15:01:00|
NT 6130|Боинг-767|241|Москва|Внуково|Майкоп|Майкоп|04.11.2020 1:52:00|04.11.2020 4:52:00|
NH 1418|Ту-134|51|Иркутск|Иркутск|Провидения|Бухта Провидения|04.11.2020 13:31:00|04.11.2020 14:40:00|
NL 1466|Аэробус-A310|169|Нижнекамск|Бегишево|Ульяновск|Баратаевка|04.11.2020 2:20:00|04.11.2020 5:18:00|
VL 9272|Аэробус-A330|366|Сабетта|Сабетта|Варандей|Варандей|04.11.2020 16:28:00|04.11.2020 19:06:00|
GR 3751|Аэробус-A320|136|Владикавказ|Беслан|Екатеринбург|Кольцово|04.11.2020 18:59:00|04.11.2020 22:53:00|
SI 6479|Ту-154 |119|Анадырь|Угольный|Курган|Курган|04.11.2020 8:59:00|04.11.2020 13:28:00|
IX 2254|Боинг-777|108|Астрахань|Нариманово|Нальчик|Нальчик|04.11.2020 12:45:00|04.11.2020 14:52:00|
ML 1742|Сc-100|31|Тюмень|Рощино|Мурманск|Мурманск|04.11.2020 3:14:00|04.11.2020 5:49:00|
LP 7580|Аэробус-A330|343|Улан - Удэ|Мухино|Ульяновск|Баратаевка|04.11.2020 1:53:00|04.11.2020 5:30:00|
IW 4381|Аэробус-A320|161|Анадырь|Угольный|Махачкала|Уйташ|04.11.2020 11:18:00|04.11.2020 15:36:00|
RZ 8431|Ту-134|39|Ставрополь|Шпаковское|Омск|Омск-Центральный|04.11.2020 11:30:00|04.11.2020 15:07:00|
DQ 5181|Боинг-747|262|Элиста|Элиста|Воронеж|Чертовицкое|04.11.2020 12:27:00|04.11.2020 16:03:00|
WG 9602|Сc-100|97|Хабаровск|Хабаровск-Новый|Якутск|Якутск|04.11.2020 20:21:00|04.11.2020 23:23:00|
BV 4440|Боинг-747|119|Петропавловск - Камчатский|Елизово|Самара|Самара|04.11.2020 20:53:00|04.11.2020 23:57:00|
PD 9153|Ту-134|74|Барнаул|Барнаул|Нижневартовск|Нижневартовск|04.11.2020 5:05:00|04.11.2020 8:18:00|
YU 6607|Боинг-737|62|Екатеринбург|Кольцово|Якутск|Якутск|04.11.2020 8:27:00|04.11.2020 12:11:00|
FH 5480|Боинг-737|72|Череповец|Череповец|Ставрополь|Шпаковское|04.11.2020 23:41:00|05.11.2020 2:15:00|
GO 8832|ИЛ-96|173|Тюмень|Рощино|Пермь|Большое Савино|04.11.2020 11:00:00|04.11.2020 14:36:00|
RE 1156|Аэробус-A330|409|Сыктывкар|Сыктывкар|Москва|Домодедово|04.11.2020 4:38:00|04.11.2020 8:03:00|
TI 0246|Боинг-767|187|Екатеринбург|Кольцово|Москва|Шереметьево|04.11.2020 12:22:00|04.11.2020 15:47:00|
WW 7700|ИЛ-96|82|Чита|Кадала|Санкт - Петербург|Пулково|04.11.2020 7:47:00|04.11.2020 9:51:00|
OM 4796|Сc-100|81|Братск|Братск|Брянск|Брянск|04.11.2020 20:32:00|04.11.2020 21:55:00|
XE 0966|Боинг-737|105|Петрозаводск|Петрозаводск|Курумоч|Курумоч|04.11.2020 3:04:00|04.11.2020 5:43:00|
RY 3257|ИЛ-96-300|120|Магнитогорск|Магнитогорск|Чита|Кадала|04.11.2020 3:27:00|04.11.2020 6:33:00|
VT 8998|Ту-204|199|Казань|Казань|Курск|Восточный|04.11.2020 5:02:00|04.11.2020 6:11:00|
KQ 3723|Аэробус-A320|169|Нижний Новгород|Стригино|Якутск|Якутск|04.11.2020 9:53:00|04.11.2020 13:01:00|
EW 8418|ИЛ-96-300|103|Сургут|Сургут|Пермь|Большое Савино|04.11.2020 1:38:00|04.11.2020 5:43:00|
UN 5991|Ту-204|146|Белгород|Белгород|Москва|Жуковский|04.11.2020 20:37:00|05.11.2020 0:18:00|
XX 0314|Ту-134|54|Сургут|Сургут|Белгород|Белгород|04.11.2020 0:47:00|04.11.2020 2:24:00|
OH 9843|Ту-154 |102|Белгород|Белгород|Симферополь|Симферополь|04.11.2020 23:36:00|05.11.2020 0:56:00|
YL 9060|Боинг-737|73|Белгород|Белгород|Сабетта|Сабетта|04.11.2020 2:25:00|04.11.2020 5:01:00|
HH 3484|Ту-154 |129|Ульяновск|Баратаевка|Орск|Орск|04.11.2020 15:11:00|04.11.2020 20:10:00|
FG 1700|Аэробус-A330|163|Казань|Казань|Курск|Восточный|04.11.2020 9:45:00|04.11.2020 12:32:00|
QM 6297|ИЛ-96-300|86|Саратов|Гагарин|Нальчик|Нальчик|04.11.2020 2:35:00|04.11.2020 7:11:00|
FF 3313|Боинг-747|221|Нижнекамск|Бегишево|Калининград|Храброво|04.11.2020 7:21:00|04.11.2020 10:50:00|
