Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
UR 8463|Аэробус-A320|224|Нижнекамск|Бегишево|Элиста|Элиста|13.06.2021 1:03:00|13.06.2021 5:11:00|
DL 7339|ИЛ-96М|216|Липецк|Липецк|Симферополь|Симферополь|13.06.2021 2:05:00|13.06.2021 4:40:00|
MK 0279|ИЛ-96-300|212|Челябинск|Баландино|Сыктывкар|Сыктывкар|13.06.2021 14:15:00|13.06.2021 17:26:00|
FZ 0982|Боинг-777|167|Варандей|Варандей|Улан - Удэ|Мухино|13.06.2021 19:16:00|13.06.2021 23:29:00|
PY 5937|ИЛ-86|156|Махачкала|Уйташ|Якутск|Якутск|13.06.2021 17:16:00|13.06.2021 18:55:00|
TG 0591|Ту-154 |133|Москва|Внуково|Сочи|Адлер|13.06.2021 5:21:00|13.06.2021 10:01:00|
BR 8882|Боинг-777|232|Оренбург|Оренбург-Центральный|Краснодар|Пашковский|13.06.2021 4:59:00|13.06.2021 7:34:00|
VN 2173|Аэробус-A330|334|Архангельск|Талаги|Москва|Внуково|13.06.2021 12:33:00|13.06.2021 17:07:00|
JT 0943|Аэробус-A310|115|Ульяновск|Восточный|Грозный|Северный|13.06.2021 11:33:00|13.06.2021 12:59:00|
SO 1528|Аэробус-A310|123|Курган|Курган|Владикавказ|Беслан|13.06.2021 12:16:00|13.06.2021 17:08:00|
BK 2872|ИЛ-62|194|Сабетта|Сабетта|Сургут|Сургут|13.06.2021 23:37:00|14.06.2021 3:55:00|
VS 9077|Аэробус-A310|141|Ханты - Мансийск|Ханты - Мансийск|Майкоп|Майкоп|13.06.2021 11:26:00|13.06.2021 12:57:00|
KM 3305|Аэробус-A320|166|Махачкала|Уйташ|Чебоксары|Чебоксары|13.06.2021 4:59:00|13.06.2021 7:52:00|
YI 1752|Боинг-777|144|Ярославль|Туношна|Владикавказ|Беслан|13.06.2021 14:18:00|13.06.2021 16:55:00|
ZL 2027|ИЛ-96|128|Петропавловск - Камчатский|Елизово|Краснодар|Пашковский|13.06.2021 14:20:00|13.06.2021 18:19:00|
DM 3457|Ту-134|47|Орск|Орск|Красноярск|Емельяново|13.06.2021 12:07:00|13.06.2021 16:25:00|
UD 6687|Ту-134|70|Ставрополь|Шпаковское|Южно - Сахалинск|Хомутово|13.06.2021 4:22:00|13.06.2021 7:51:00|
AH 8505|ИЛ-96|155|Сочи|Адлер|Абакан|Абакан|13.06.2021 2:29:00|13.06.2021 6:01:00|
VO 1137|Боинг-767|157|Новокузнецк|Спиченково|Чита|Кадала|13.06.2021 21:56:00|14.06.2021 0:43:00|
VO 1691|Ту-154 |146|Красноярск|Емельяново|Москва|Внуково|13.06.2021 9:58:00|13.06.2021 12:08:00|
QL 0545|Ту-204|93|Хабаровск|Хабаровск-Новый|Курумоч|Курумоч|13.06.2021 11:36:00|13.06.2021 14:52:00|
SD 1869|Аэробус-A320|178|Сабетта|Сабетта|Белгород|Белгород|13.06.2021 16:03:00|13.06.2021 17:05:00|
MP 7587|Ту-204|79|Саратов|Гагарин|Воронеж|Чертовицкое|13.06.2021 10:00:00|13.06.2021 12:53:00|
PZ 2966|Ту-154 |94|Курумоч|Курумоч|Псков|Кресты|13.06.2021 17:24:00|13.06.2021 21:28:00|
AO 7363|ИЛ-96-300|162|Пермь|Большое Савино|Томск|Богашёво|13.06.2021 10:18:00|13.06.2021 14:29:00|
ZA 4727|Боинг-767|106|Провидения|Бухта Провидения|Чебоксары|Чебоксары|13.06.2021 7:41:00|13.06.2021 10:24:00|
QM 5270|Ту-204|82|Курск|Восточный|Уфа|Уфа|13.06.2021 8:23:00|13.06.2021 11:39:00|
EG 0797|Аэробус-A320|232|Ханты - Мансийск|Ханты - Мансийск|Сабетта|Сабетта|13.06.2021 22:57:00|14.06.2021 1:20:00|
QF 5844|Аэробус-A320|111|Курск|Восточный|Нижневартовск|Нижневартовск|13.06.2021 20:17:00|13.06.2021 21:35:00|
SR 6451|ИЛ-86|253|Ростов - на - Дону|Платов|Курск|Восточный|13.06.2021 3:51:00|13.06.2021 8:38:00|
FQ 5126|ИЛ-86|178|Абакан|Абакан|Ростов - на - Дону|Платов|13.06.2021 12:30:00|13.06.2021 15:20:00|
NL 3701|ИЛ-96-300|239|Магадан|Сокол|Новосибирск|Толмачёво|13.06.2021 4:27:00|13.06.2021 5:55:00|
VJ 6324|Боинг-777|145|Челябинск|Баландино|Псков|Кресты|13.06.2021 14:10:00|13.06.2021 15:55:00|
UM 6441|Боинг-767|91|Воронеж|Чертовицкое|Петропавловск - Камчатский|Елизово|13.06.2021 8:53:00|13.06.2021 10:51:00|
QA 0144|Аэробус-A330|187|Сургут|Сургут|Санкт - Петербург|Пулково|13.06.2021 18:39:00|13.06.2021 21:26:00|
EG 0007|Аэробус-A310|168|Чебоксары|Чебоксары|Нижнекамск|Бегишево|13.06.2021 4:54:00|13.06.2021 6:07:00|
QF 0602|ИЛ-96-300|254|Москва|Домодедово|Омск|Омск-Центральный|13.06.2021 9:45:00|13.06.2021 11:25:00|
YD 0429|Боинг-737|37|Архангельск|Талаги|Магадан|Сокол|13.06.2021 2:10:00|13.06.2021 5:16:00|
GO 3188|Сc-100|57|Магнитогорск|Магнитогорск|Владикавказ|Беслан|13.06.2021 3:06:00|13.06.2021 6:50:00|
DT 4606|Сc-100|92|Оренбург|Оренбург-Центральный|Благовещенск|Игнатьево|13.06.2021 21:26:00|13.06.2021 23:21:00|
UR 0919|ИЛ-96-300|168|Санкт - Петербург|Пулково|Владивосток|Кневичи|13.06.2021 14:19:00|13.06.2021 17:59:00|
FF 7838|ИЛ-86|222|Москва|Жуковский|Пермь|Большое Савино|13.06.2021 13:23:00|13.06.2021 15:42:00|
DN 6024|Аэробус-A320|197|Провидения|Бухта Провидения|Братск|Братск|13.06.2021 9:22:00|13.06.2021 14:14:00|
YH 1708|ИЛ-86|170|Братск|Братск|Саратов|Гагарин|13.06.2021 4:43:00|13.06.2021 8:45:00|
QE 6854|Аэробус-A310|164|Мурманск|Мурманск|Оренбург|Оренбург-Центральный|13.06.2021 21:42:00|14.06.2021 2:21:00|
RK 0843|ИЛ-96-300|144|Псков|Кресты|Сочи|Адлер|13.06.2021 9:39:00|13.06.2021 12:48:00|
KW 9324|ИЛ-62|123|Москва|Шереметьево|Орск|Орск|13.06.2021 0:48:00|13.06.2021 4:04:00|
NX 1703|Ту-154 |61|Ставрополь|Шпаковское|Сабетта|Сабетта|13.06.2021 8:13:00|13.06.2021 10:28:00|
CU 4332|Ту-204|64|Томск|Богашёво|Омск|Омск-Центральный|13.06.2021 21:05:00|13.06.2021 23:30:00|
SS 4600|Ту-154 |140|Москва|Внуково|Санкт - Петербург|Пулково|13.06.2021 5:53:00|13.06.2021 9:43:00|
WH 4836|Ту-204|197|Петропавловск - Камчатский|Елизово|Анадырь|Угольный|13.06.2021 1:04:00|13.06.2021 3:02:00|
ZJ 5122|Аэробус-A320|201|Уфа|Уфа|Ростов - на - Дону|Платов|13.06.2021 16:05:00|13.06.2021 19:23:00|
OT 4451|ИЛ-96-300|192|Воронеж|Чертовицкое|Орск|Орск|13.06.2021 14:54:00|13.06.2021 16:37:00|
YN 4833|Аэробус-A310|163|Калининград|Храброво|Москва|Внуково|13.06.2021 6:16:00|13.06.2021 9:11:00|
QU 0297|Боинг-737|97|Курган|Курган|Якутск|Якутск|13.06.2021 9:12:00|13.06.2021 12:03:00|
BH 6509|Сc-100|31|Абакан|Абакан|Саранск|Саранск|13.06.2021 5:02:00|13.06.2021 7:03:00|
ID 7072|Ту-204|75|Варандей|Варандей|Калининград|Храброво|13.06.2021 14:58:00|13.06.2021 18:35:00|
VE 3990|Аэробус-A310|174|Нальчик|Нальчик|Анадырь|Угольный|13.06.2021 5:40:00|13.06.2021 8:01:00|
IW 4058|Ту-204|163|Москва|Жуковский|Курган|Курган|13.06.2021 1:13:00|13.06.2021 3:11:00|
YW 3730|Аэробус-A310|108|Братск|Братск|Брянск|Брянск|13.06.2021 15:05:00|13.06.2021 19:07:00|
TS 3845|ИЛ-96|105|Челябинск|Баландино|Белгород|Белгород|13.06.2021 15:07:00|13.06.2021 19:02:00|
XC 9473|Аэробус-A330|352|Ульяновск|Баратаевка|Омск|Омск-Центральный|13.06.2021 13:42:00|13.06.2021 17:24:00|
YE 9197|Боинг-767|209|Псков|Кресты|Саратов|Гагарин|13.06.2021 8:36:00|13.06.2021 12:58:00|
GC 8297|Аэробус-A320|187|Калининград|Храброво|Ставрополь|Шпаковское|13.06.2021 10:40:00|13.06.2021 13:00:00|
OA 0387|Ту-154 |135|Курган|Курган|Липецк|Липецк|13.06.2021 11:43:00|13.06.2021 13:20:00|
CY 9106|Боинг-747|286|Сочи|Адлер|Хабаровск|Хабаровск-Новый|13.06.2021 21:32:00|14.06.2021 0:47:00|
XW 0934|ИЛ-96М|311|Москва|Шереметьево|Нижний Новгород|Стригино|13.06.2021 17:18:00|13.06.2021 21:40:00|
GF 0243|Аэробус-A310|160|Чебоксары|Чебоксары|Москва|Домодедово|13.06.2021 15:05:00|13.06.2021 18:46:00|
XV 3551|Боинг-737|59|Якутск|Якутск|Архангельск|Талаги|13.06.2021 17:21:00|13.06.2021 18:25:00|
MY 5372|Боинг-747|142|Белгород|Белгород|Курск|Восточный|13.06.2021 21:31:00|14.06.2021 0:05:00|
FM 7864|Боинг-747|222|Саранск|Саранск|Ростов - на - Дону|Платов|13.06.2021 4:51:00|13.06.2021 9:46:00|
GF 5543|Боинг-767|157|Магнитогорск|Магнитогорск|Магадан|Сокол|13.06.2021 6:31:00|13.06.2021 10:21:00|
PU 4754|Ту-154 |61|Псков|Кресты|Томск|Богашёво|13.06.2021 13:05:00|13.06.2021 15:41:00|
IF 3253|ИЛ-96М|351|Саранск|Саранск|Курган|Курган|13.06.2021 17:29:00|13.06.2021 21:56:00|
GJ 9164|ИЛ-86|299|Барнаул|Барнаул|Петрозаводск|Петрозаводск|13.06.2021 5:00:00|13.06.2021 6:27:00|
LX 8979|ИЛ-96М|146|Архангельск|Талаги|Майкоп|Майкоп|13.06.2021 2:04:00|13.06.2021 6:09:00|
BM 9696|Сc-100|75|Челябинск|Баландино|Москва|Домодедово|13.06.2021 4:28:00|13.06.2021 6:10:00|
EL 4291|ИЛ-62|122|Псков|Кресты|Саратов|Гагарин|13.06.2021 21:48:00|14.06.2021 1:10:00|
XM 8528|Ту-154 |142|Оренбург|Оренбург-Центральный|Майкоп|Майкоп|13.06.2021 22:25:00|14.06.2021 2:01:00|
FX 4836|ИЛ-96|122|Ульяновск|Баратаевка|Сургут|Сургут|13.06.2021 13:50:00|13.06.2021 16:41:00|
NC 3221|Боинг-747|162|Чебоксары|Чебоксары|Казань|Казань|13.06.2021 20:22:00|13.06.2021 22:00:00|
PP 3535|Боинг-737|54|Петропавловск - Камчатский|Елизово|Мурманск|Мурманск|13.06.2021 0:50:00|13.06.2021 3:14:00|
YP 0922|Аэробус-A330|378|Чебоксары|Чебоксары|Кемерово|Кемерово|13.06.2021 13:18:00|13.06.2021 14:44:00|
CH 2655|ИЛ-96|81|Краснодар|Пашковский|Астрахань|Нариманово|13.06.2021 5:18:00|13.06.2021 7:59:00|
WW 2332|ИЛ-96|169|Хабаровск|Хабаровск-Новый|Мурманск|Мурманск|13.06.2021 7:58:00|13.06.2021 9:02:00|
JK 3417|Сc-100|45|Самара|Самара|Грозный|Северный|13.06.2021 23:59:00|14.06.2021 4:34:00|
SA 1938|Аэробус-A320|221|Волгоград|Гумрак|Псков|Кресты|13.06.2021 14:35:00|13.06.2021 19:18:00|
UV 1910|Аэробус-A320|177|Чита|Кадала|Симферополь|Симферополь|13.06.2021 20:50:00|14.06.2021 1:36:00|
SW 1382|ИЛ-86|192|Ульяновск|Восточный|Анадырь|Угольный|13.06.2021 18:56:00|13.06.2021 20:27:00|
SO 2407|Боинг-747|125|Нижний Новгород|Стригино|Магнитогорск|Магнитогорск|13.06.2021 1:43:00|13.06.2021 2:59:00|
NO 3462|Ту-154 |89|Махачкала|Уйташ|Оренбург|Оренбург-Центральный|13.06.2021 14:47:00|13.06.2021 18:55:00|
OI 4484|Ту-134|95|Новосибирск|Толмачёво|Курск|Восточный|13.06.2021 7:28:00|13.06.2021 11:18:00|
EM 7971|Аэробус-A320|220|Краснодар|Пашковский|Ярославль|Туношна|13.06.2021 2:21:00|13.06.2021 4:46:00|
DC 7076|Аэробус-A320|123|Москва|Домодедово|Пермь|Большое Савино|13.06.2021 16:06:00|13.06.2021 19:08:00|
HL 0400|Ту-134|92|Грозный|Северный|Брянск|Брянск|13.06.2021 14:27:00|13.06.2021 18:50:00|
DR 9023|Ту-134|62|Элиста|Элиста|Воронеж|Чертовицкое|13.06.2021 5:28:00|13.06.2021 8:39:00|
LX 4630|Боинг-747|131|Новокузнецк|Спиченково|Элиста|Элиста|13.06.2021 17:52:00|13.06.2021 22:48:00|
EO 4271|Аэробус-A310|174|Владивосток|Кневичи|Новосибирск|Толмачёво|13.06.2021 6:22:00|13.06.2021 8:35:00|
OW 0658|Боинг-777|145|Курган|Курган|Иркутск|Иркутск|13.06.2021 11:32:00|13.06.2021 15:25:00|
GJ 6912|Ту-204|108|Красноярск|Емельяново|Саратов|Гагарин|13.06.2021 2:40:00|13.06.2021 5:30:00|
EC 6521|ИЛ-62|71|Сочи|Адлер|Ставрополь|Шпаковское|13.06.2021 4:52:00|13.06.2021 7:36:00|
VB 5719|Аэробус-A330|438|Петрозаводск|Петрозаводск|Ярославль|Туношна|13.06.2021 6:11:00|13.06.2021 8:39:00|
MT 0039|Боинг-777|79|Саратов|Гагарин|Братск|Братск|13.06.2021 20:44:00|14.06.2021 1:35:00|
IU 6784|Ту-154 |129|Минеральные Воды|Минеральные Воды|Кемерово|Кемерово|13.06.2021 18:31:00|13.06.2021 22:00:00|
YN 4583|ИЛ-86|289|Иркутск|Иркутск|Брянск|Брянск|13.06.2021 1:44:00|13.06.2021 4:30:00|
IV 3186|Ту-134|38|Петрозаводск|Петрозаводск|Нижнекамск|Бегишево|13.06.2021 8:48:00|13.06.2021 10:21:00|
CR 6592|ИЛ-96М|345|Саратов|Гагарин|Барнаул|Барнаул|13.06.2021 14:13:00|13.06.2021 16:14:00|
FP 0015|Ту-134|56|Воронеж|Чертовицкое|Екатеринбург|Кольцово|13.06.2021 8:15:00|13.06.2021 11:05:00|
ED 4541|Аэробус-A330|350|Нижнекамск|Бегишево|Калининград|Храброво|13.06.2021 6:38:00|13.06.2021 8:26:00|
CU 7587|Боинг-767|173|Волгоград|Гумрак|Сабетта|Сабетта|13.06.2021 1:31:00|13.06.2021 4:02:00|
CZ 7692|ИЛ-86|193|Владивосток|Кневичи|Абакан|Абакан|13.06.2021 5:07:00|13.06.2021 8:42:00|
DF 5018|ИЛ-96-300|248|Саранск|Саранск|Тюмень|Рощино|13.06.2021 16:38:00|13.06.2021 19:12:00|
HO 9984|Ту-154 |51|Красноярск|Емельяново|Череповец|Череповец|13.06.2021 23:50:00|14.06.2021 2:10:00|
MO 7625|ИЛ-96|74|Краснодар|Пашковский|Минеральные Воды|Минеральные Воды|13.06.2021 0:08:00|13.06.2021 3:17:00|
UW 4090|Ту-134|64|Самара|Самара|Ярославль|Туношна|13.06.2021 13:13:00|13.06.2021 14:56:00|
XW 6255|Ту-204|181|Тюмень|Рощино|Брянск|Брянск|13.06.2021 4:00:00|13.06.2021 7:23:00|
RY 2398|Боинг-737|57|Воронеж|Чертовицкое|Абакан|Абакан|13.06.2021 13:11:00|13.06.2021 18:08:00|
BC 8331|ИЛ-96-300|86|Саранск|Саранск|Магнитогорск|Магнитогорск|13.06.2021 13:05:00|13.06.2021 17:17:00|
SM 7492|Ту-154 |85|Чебоксары|Чебоксары|Томск|Богашёво|13.06.2021 7:22:00|13.06.2021 8:37:00|
JS 8600|Ту-134|69|Ростов - на - Дону|Платов|Магадан|Сокол|13.06.2021 23:30:00|14.06.2021 3:41:00|
MG 5486|Сc-100|38|Мурманск|Мурманск|Тюмень|Рощино|13.06.2021 12:45:00|13.06.2021 13:55:00|
IR 6005|Боинг-777|113|Омск|Омск-Центральный|Анадырь|Угольный|13.06.2021 3:05:00|13.06.2021 5:20:00|
FE 1767|Боинг-767|103|Курган|Курган|Новосибирск|Толмачёво|13.06.2021 18:28:00|13.06.2021 23:16:00|
JT 9163|Боинг-747|90|Саратов|Гагарин|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 23:38:00|14.06.2021 1:54:00|
SG 5454|ИЛ-86|211|Варандей|Варандей|Череповец|Череповец|13.06.2021 16:12:00|13.06.2021 20:12:00|
CB 9585|Ту-154 |146|Сургут|Сургут|Липецк|Липецк|13.06.2021 8:23:00|13.06.2021 12:32:00|
UO 8121|ИЛ-62|104|Магнитогорск|Магнитогорск|Провидения|Бухта Провидения|13.06.2021 21:00:00|13.06.2021 23:30:00|
RA 4095|ИЛ-96|130|Анапа|Витязево|Брянск|Брянск|13.06.2021 17:18:00|13.06.2021 18:43:00|
RU 5720|Ту-204|157|Благовещенск|Игнатьево|Иркутск|Иркутск|13.06.2021 7:56:00|13.06.2021 11:44:00|
GB 4421|Аэробус-A310|116|Махачкала|Уйташ|Сабетта|Сабетта|13.06.2021 9:45:00|13.06.2021 12:04:00|
VM 1210|Боинг-767|98|Анадырь|Угольный|Астрахань|Нариманово|13.06.2021 18:35:00|13.06.2021 21:15:00|
CV 7011|Ту-154 |79|Элиста|Элиста|Нижний Новгород|Стригино|13.06.2021 4:34:00|13.06.2021 8:59:00|
HL 6751|Ту-134|87|Екатеринбург|Кольцово|Владикавказ|Беслан|13.06.2021 10:53:00|13.06.2021 12:02:00|
UW 5586|Боинг-767|224|Курган|Курган|Курумоч|Курумоч|13.06.2021 17:20:00|13.06.2021 20:14:00|
UK 0840|Аэробус-A320|138|Нижневартовск|Нижневартовск|Владикавказ|Беслан|13.06.2021 12:17:00|13.06.2021 15:10:00|
JG 5673|Ту-204|86|Челябинск|Баландино|Анадырь|Угольный|13.06.2021 17:25:00|13.06.2021 21:01:00|
FK 0208|ИЛ-96|66|Ханты - Мансийск|Ханты - Мансийск|Липецк|Липецк|13.06.2021 20:18:00|14.06.2021 0:03:00|
SU 7780|Сc-100|55|Анапа|Витязево|Курган|Курган|13.06.2021 7:41:00|13.06.2021 12:32:00|
AT 3363|ИЛ-96-300|227|Нальчик|Нальчик|Чита|Кадала|13.06.2021 7:11:00|13.06.2021 8:40:00|
HB 3727|ИЛ-62|64|Ханты - Мансийск|Ханты - Мансийск|Хабаровск|Хабаровск-Новый|13.06.2021 10:09:00|13.06.2021 11:38:00|
JT 2437|Аэробус-A310|64|Нижневартовск|Нижневартовск|Грозный|Северный|13.06.2021 18:33:00|13.06.2021 22:17:00|
FC 8933|Аэробус-A310|154|Мурманск|Мурманск|Магадан|Сокол|13.06.2021 0:18:00|13.06.2021 1:38:00|
HA 9538|Ту-204|144|Сабетта|Сабетта|Краснодар|Пашковский|13.06.2021 13:59:00|13.06.2021 17:13:00|
HH 0165|Ту-204|145|Грозный|Северный|Мурманск|Мурманск|13.06.2021 4:56:00|13.06.2021 8:10:00|
WH 3182|Ту-204|108|Варандей|Варандей|Екатеринбург|Кольцово|13.06.2021 3:57:00|13.06.2021 8:31:00|
BP 1853|Боинг-777|195|Сургут|Сургут|Ярославль|Туношна|13.06.2021 17:20:00|13.06.2021 20:58:00|
AR 5397|Аэробус-A310|150|Улан - Удэ|Мухино|Пермь|Большое Савино|13.06.2021 4:28:00|13.06.2021 7:17:00|
IX 2439|Ту-204|183|Санкт - Петербург|Пулково|Сыктывкар|Сыктывкар|13.06.2021 9:20:00|13.06.2021 13:58:00|
CM 8256|Боинг-747|123|Улан - Удэ|Мухино|Архангельск|Талаги|13.06.2021 18:44:00|13.06.2021 20:49:00|
AP 1079|ИЛ-86|114|Анадырь|Угольный|Владикавказ|Беслан|13.06.2021 11:18:00|13.06.2021 14:44:00|
CT 8731|Ту-134|30|Чебоксары|Чебоксары|Петропавловск - Камчатский|Елизово|13.06.2021 22:33:00|14.06.2021 3:31:00|
GJ 2475|Аэробус-A330|164|Нижний Новгород|Стригино|Сургут|Сургут|13.06.2021 15:38:00|13.06.2021 16:38:00|
SM 8883|Боинг-777|233|Томск|Богашёво|Самара|Самара|13.06.2021 7:07:00|13.06.2021 10:54:00|
HL 2472|ИЛ-96М|372|Минеральные Воды|Минеральные Воды|Сочи|Адлер|13.06.2021 19:33:00|13.06.2021 22:09:00|
MG 5342|Ту-154 |85|Саранск|Саранск|Барнаул|Барнаул|13.06.2021 4:05:00|13.06.2021 8:17:00|
JG 0799|ИЛ-86|107|Ханты - Мансийск|Ханты - Мансийск|Архангельск|Талаги|13.06.2021 20:01:00|13.06.2021 21:03:00|
SR 2020|ИЛ-62|115|Курган|Курган|Москва|Внуково|13.06.2021 11:29:00|13.06.2021 13:32:00|
EW 3860|ИЛ-96|176|Оренбург|Оренбург-Центральный|Череповец|Череповец|13.06.2021 18:38:00|13.06.2021 22:49:00|
CY 3056|ИЛ-62|114|Ставрополь|Шпаковское|Череповец|Череповец|13.06.2021 3:40:00|13.06.2021 8:01:00|
TC 3315|ИЛ-62|154|Ханты - Мансийск|Ханты - Мансийск|Красноярск|Емельяново|13.06.2021 17:00:00|13.06.2021 19:39:00|
CJ 0814|ИЛ-96|108|Грозный|Северный|Барнаул|Барнаул|13.06.2021 1:13:00|13.06.2021 5:49:00|
CY 8312|Сc-100|83|Ульяновск|Восточный|Орск|Орск|13.06.2021 13:13:00|13.06.2021 17:19:00|
IP 1996|Ту-154 |57|Ульяновск|Баратаевка|Псков|Кресты|13.06.2021 8:52:00|13.06.2021 12:49:00|
LI 4973|Ту-154 |75|Курумоч|Курумоч|Анапа|Витязево|13.06.2021 19:33:00|13.06.2021 21:15:00|
DX 6904|Аэробус-A320|153|Владивосток|Кневичи|Анапа|Витязево|13.06.2021 7:16:00|13.06.2021 8:52:00|
SR 8955|ИЛ-96-300|147|Нижнекамск|Бегишево|Чита|Кадала|13.06.2021 9:51:00|13.06.2021 14:08:00|
UR 5532|ИЛ-86|255|Владивосток|Кневичи|Курган|Курган|13.06.2021 11:53:00|13.06.2021 15:10:00|
VY 3520|Аэробус-A330|317|Ханты - Мансийск|Ханты - Мансийск|Якутск|Якутск|13.06.2021 10:41:00|13.06.2021 13:28:00|
IE 8982|Ту-154 |73|Казань|Казань|Новосибирск|Толмачёво|13.06.2021 21:34:00|14.06.2021 1:21:00|
QN 4283|Ту-154 |49|Псков|Кресты|Калининград|Храброво|13.06.2021 1:56:00|13.06.2021 5:43:00|
IT 2310|Боинг-767|232|Ярославль|Туношна|Калининград|Храброво|13.06.2021 22:09:00|14.06.2021 1:00:00|
UX 3664|Боинг-777|160|Белгород|Белгород|Сургут|Сургут|13.06.2021 4:35:00|13.06.2021 6:13:00|
RH 4687|Ту-134|38|Элиста|Элиста|Чита|Кадала|13.06.2021 0:52:00|13.06.2021 3:26:00|
CK 8064|Ту-204|117|Благовещенск|Игнатьево|Курган|Курган|13.06.2021 16:59:00|13.06.2021 20:13:00|
JN 1130|Боинг-737|112|Элиста|Элиста|Красноярск|Емельяново|13.06.2021 11:19:00|13.06.2021 13:48:00|
TE 3283|Боинг-737|57|Петропавловск - Камчатский|Елизово|Курган|Курган|13.06.2021 17:03:00|13.06.2021 18:23:00|
LS 8027|Аэробус-A320|134|Варандей|Варандей|Благовещенск|Игнатьево|13.06.2021 23:45:00|14.06.2021 2:59:00|
MR 4833|Аэробус-A320|135|Красноярск|Емельяново|Анадырь|Угольный|13.06.2021 0:49:00|13.06.2021 3:35:00|
PY 2064|Ту-204|107|Курск|Восточный|Курган|Курган|13.06.2021 4:55:00|13.06.2021 5:55:00|
LK 0003|ИЛ-96М|221|Курган|Курган|Ростов - на - Дону|Платов|13.06.2021 21:45:00|14.06.2021 2:27:00|
AP 7447|Сc-100|87|Магнитогорск|Магнитогорск|Москва|Шереметьево|13.06.2021 1:07:00|13.06.2021 3:59:00|
HJ 2682|Боинг-767|144|Псков|Кресты|Анадырь|Угольный|13.06.2021 6:14:00|13.06.2021 7:15:00|
LI 1053|ИЛ-62|156|Анадырь|Угольный|Сочи|Адлер|13.06.2021 12:54:00|13.06.2021 17:23:00|
AL 1320|Боинг-767|172|Сочи|Адлер|Ханты - Мансийск|Ханты - Мансийск|13.06.2021 0:38:00|13.06.2021 5:00:00|
JC 5735|Ту-204|128|Барнаул|Барнаул|Чебоксары|Чебоксары|13.06.2021 16:18:00|13.06.2021 20:48:00|
KV 7587|Боинг-737|109|Тюмень|Рощино|Грозный|Северный|13.06.2021 5:16:00|13.06.2021 9:29:00|
UI 4941|ИЛ-96|146|Саратов|Гагарин|Москва|Домодедово|13.06.2021 3:16:00|13.06.2021 5:49:00|
QL 4384|Ту-134|51|Магнитогорск|Магнитогорск|Астрахань|Нариманово|13.06.2021 18:11:00|13.06.2021 19:15:00|
IV 9863|ИЛ-96-300|180|Краснодар|Пашковский|Хабаровск|Хабаровск-Новый|13.06.2021 23:06:00|14.06.2021 2:05:00|
HV 1945|ИЛ-62|126|Симферополь|Симферополь|Архангельск|Талаги|13.06.2021 11:28:00|13.06.2021 13:58:00|
XY 4826|Боинг-737|65|Тюмень|Рощино|Новосибирск|Толмачёво|13.06.2021 19:53:00|14.06.2021 0:06:00|
VX 8784|Сc-100|51|Уфа|Уфа|Волгоград|Гумрак|13.06.2021 4:26:00|13.06.2021 7:52:00|
TB 5584|ИЛ-86|148|Новосибирск|Толмачёво|Калининград|Храброво|13.06.2021 2:25:00|13.06.2021 5:55:00|
OO 1733|Ту-134|71|Симферополь|Симферополь|Нижнекамск|Бегишево|13.06.2021 15:00:00|13.06.2021 16:46:00|
QU 0902|ИЛ-96|134|Нальчик|Нальчик|Хабаровск|Хабаровск-Новый|13.06.2021 20:16:00|14.06.2021 0:05:00|
SG 5357|ИЛ-62|90|Владикавказ|Беслан|Хабаровск|Хабаровск-Новый|13.06.2021 5:05:00|13.06.2021 9:22:00|
VA 9438|ИЛ-96М|324|Майкоп|Майкоп|Благовещенск|Игнатьево|13.06.2021 4:38:00|13.06.2021 6:21:00|
XM 9842|ИЛ-96М|323|Ханты - Мансийск|Ханты - Мансийск|Нальчик|Нальчик|13.06.2021 1:25:00|13.06.2021 6:13:00|
BL 9838|Боинг-737|53|Минеральные Воды|Минеральные Воды|Абакан|Абакан|13.06.2021 15:01:00|13.06.2021 17:57:00|
MZ 0043|Аэробус-A320|144|Чита|Кадала|Курган|Курган|13.06.2021 5:19:00|13.06.2021 7:58:00|
NH 1998|Ту-134|58|Ярославль|Туношна|Улан - Удэ|Мухино|13.06.2021 16:29:00|13.06.2021 20:22:00|
PC 9493|Боинг-747|293|Красноярск|Емельяново|Ставрополь|Шпаковское|13.06.2021 13:50:00|13.06.2021 14:56:00|
LZ 5937|ИЛ-96М|422|Уфа|Уфа|Екатеринбург|Кольцово|13.06.2021 1:25:00|13.06.2021 2:41:00|
XM 0993|ИЛ-96М|351|Ярославль|Туношна|Ульяновск|Восточный|13.06.2021 10:32:00|13.06.2021 12:50:00|
BF 4686|Ту-204|200|Волгоград|Гумрак|Красноярск|Емельяново|13.06.2021 20:03:00|13.06.2021 22:45:00|
NN 7468|Боинг-777|221|Омск|Омск-Центральный|Тюмень|Рощино|13.06.2021 22:19:00|14.06.2021 2:46:00|
TI 3781|ИЛ-96|63|Тюмень|Рощино|Астрахань|Нариманово|13.06.2021 12:12:00|13.06.2021 14:43:00|
SI 1661|Боинг-767|160|Мурманск|Мурманск|Провидения|Бухта Провидения|13.06.2021 23:30:00|14.06.2021 1:26:00|
